name,type,address,lat,lng,place_id,google_types,rating,user_ratings_total
Beacon Hill Branch - The Seattle Public Library,Library,"2821 Beacon Ave S #5813, Seattle, WA 98144, USA",47.5780836,-122.3114756,ChIJQ2xGQIdqkFQRDAwVMNgC7gI,establishment|library|point_of_interest,4.7,109
Queen Anne Branch - The Seattle Public Library,Library,"400 W Garfield St, Seattle, WA 98119, USA",47.6338132,-122.362667,ChIJEw6qRGwVkFQRNJYY6wj_LXY,establishment|library|point_of_interest,4.7,101
Friends of The Seattle Public Library,Library,"Central Library, 1000 4th Ave Level 3, Seattle, WA 98104, USA",47.60667249999999,-122.3325813,ChIJp5sIFUoVkFQRqTRE-_YZSSY,establishment|point_of_interest,4.7,10
Fremont Branch - The Seattle Public Library,Library,"731 N 35th St, Seattle, WA 98103, USA",47.6500583,-122.3484854,ChIJoz291gAVkFQR5-kw3WppwvU,establishment|library|point_of_interest,4.6,86
West Seattle Branch - The Seattle Public Library,Library,"2306 42nd Ave SW, Seattle, WA 98116, USA",47.5826878,-122.3847333,ChIJ3VcWbG9AkFQR-NsDgadjWO4,establishment|library|point_of_interest,4.7,79
Madrona-Sally Goldmark Branch - The Seattle Public Library,Library,"1134 33rd Ave, Seattle, WA 98122, USA",47.6126792,-122.2900362,ChIJ3XHObSdrkFQR1ZG6wstVcZ8,establishment|library|point_of_interest,4.6,33
Montlake Branch - The Seattle Public Library,Library,"2401 24th Ave E, Seattle, WA 98112, USA",47.6404159,-122.302498,ChIJU2vyhcMUkFQRG9TOL-sJups,establishment|library|point_of_interest,4.6,49
Olympic Garage,Library,"415 Seneca St, Seattle, WA 98101, USA",47.6077339,-122.3331217,ChIJNeh4UrFqkFQRqtY_XqSDD8w,establishment|parking|point_of_interest,3.1,153
Greenwood Branch - The Seattle Public Library,Library,"8016 Greenwood Ave N, Seattle, WA 98103, USA",47.6874519,-122.3547574,ChIJ7eJjtyMUkFQRlrk_dVTDvxk,establishment|library|point_of_interest,4.7,133
Columbia Branch - The Seattle Public Library,Library,"4721 Rainier Ave S, Seattle, WA 98118, USA",47.5599006,-122.2869591,ChIJv5x3_wxqkFQRs76P7-fM9GE,establishment|library|point_of_interest,4.7,70
Magnolia Branch - The Seattle Public Library,Library,"2801 34th Ave W, Seattle, WA 98199, USA",47.64532630000001,-122.4013851,ChIJVwuub4YVkFQRgmCNdfT17B4,establishment|library|point_of_interest,4.8,68
Northeast Branch - The Seattle Public Library,Library,"6801 35th Ave NE, Seattle, WA 98115, USA",47.6778874,-122.2907311,ChIJK8hUloYTkFQRyiMM-7TC7Ho,establishment|library|point_of_interest,4.6,109
High Point Branch - The Seattle Public Library,Library,"3411 SW Raymond St, Seattle, WA 98126, USA",47.5480682,-122.3758825,ChIJyyxAAAVBkFQRIwwgKaMThyA,establishment|library|point_of_interest,4.4,62
Freeway Park,Library,"700 Seneca St, Seattle, WA 98101, USA",47.609308,-122.330903,ChIJSx5JLLRqkFQRwnvCxhDzA3o,establishment|park|point_of_interest|tourist_attraction,4.2,1156
Wallingford Branch - The Seattle Public Library,Library,"1501 N 45th St, Seattle, WA 98103, USA",47.6612832,-122.3387458,ChIJxZL2KlcUkFQRvMj-zXRI3H0,establishment|library|point_of_interest,4.3,46
Sky View Observatory - Columbia Center,Library,"700 4th Ave, Seattle, WA 98104, USA",47.6043639,-122.3310111,ChIJi-OPx7BqkFQR9TDCUWqViHc,establishment|point_of_interest|tourist_attraction,4.7,3726
PlayDate SEA,Attraction,"1275 Mercer St, Seattle, WA 98109, USA",47.6236257,-122.330639,ChIJ07Tp8jAVkFQRnFaSwuWzyUQ,cafe|establishment|food|point_of_interest,4.3,701
Twinkle Land Play Cafe,Attraction,"15510 Lake Hills Blvd, Bellevue, WA 98007, USA",47.6036403,-122.1316221,ChIJV3Z_PABtkFQRG94eTrkS13M,establishment|point_of_interest,4.3,339
Nick's Magnificent,Attraction,"1430 NW Mall St, Issaquah, WA 98027, USA",47.5446524,-122.0601102,ChIJ4YB_HwBvkFQRAJjm9p3EimI,establishment|point_of_interest,4.8,177
Kids Magic Lab,Attraction,"7325 166th Ave NE f235, Redmond, WA 98052, USA",47.6701853,-122.1200276,ChIJm5Um8LVzkFQRY54hsNcDZ9k,establishment|point_of_interest,4.7,136
Ballard Playspace,Attraction,"1460 NW 73rd St, Seattle, WA 98117, USA",47.6817583,-122.3749213,ChIJmzZriiwUkFQRa3hjJrrBm7Y,establishment|point_of_interest,4.6,96
Funtastic Playtorium,Attraction,"4077 Factoria Square Mall SE, Bellevue, WA 98006, USA",47.57371939999999,-122.1725,ChIJp7Rt-1RpkFQR4ZmoUW2DRMA,establishment|point_of_interest,4.2,516
Safari,Attraction,"2876 Southcenter Blvd, Tukwila, WA 98188, USA",47.45847250000001,-122.2569299,ChIJF8RjDtNckFQRYLtmk5OTJCA,establishment|point_of_interest,4.5,426
Nixi City Play + Cafe,Attraction,"1437 NW Richmond Beach Rd # E, Shoreline, WA 98177, USA",47.7694397,-122.376915,ChIJyfLYFwARkFQRPEOD9lmPm7Y,establishment|point_of_interest,4.8,57
Funtastic Playtorium Alderwood,Attraction,"3000 184th St SW #676, Lynnwood, WA 98037, USA",47.8294399,-122.2752836,ChIJCf5nM3MFkFQRX2MdPOjm16M,establishment|point_of_interest,4.2,564
Kids Cove @ The Square,Attraction,"212 Bellevue Way NE, Bellevue, WA 98004, USA",47.6156269,-122.2035472,ChIJfRF2c4ZskFQRjztFEA3Ef2k,establishment|point_of_interest,4,115
WiggleWorks Kids,Attraction,"15600 NE 8th St Suite G2, Bellevue, WA 98008, USA",47.6184436,-122.1304309,ChIJ34yt0LBtkFQRcOHmK0af2Hs,establishment|point_of_interest,3.8,447
Ahoy Kitsap Playland,Attraction,"5934 WA-303, Bremerton, WA 98311, USA",47.6150952,-122.626681,ChIJa6jPEiQ6kFQR7s2XZHk1qV8,cafe|establishment|food|point_of_interest|restaurant,4.3,634
